Ano,NomeDistrito,CodNomeDistrito,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
1991,Aveiro,AVEIRO,PPD/PSD,58.6,PS,CDS,PCP/PEV,27.8,6.1,2.8,3.1
1991,Beja,BEJA,PCP/PEV,30.4,PPD/PSD,PS,PSR,29.3,28.4,2.4,6.6
1991,Braga,BRAGA,PPD/PSD,53.6,PS,CDS,PCP/PEV,31.5,5.6,4.6,3.4
1991,Bragança,BRAGANÃ‡A,PPD/PSD,57.9,PS,CDS,PCP/PEV,25.7,8.2,2.1,3.7
1991,Castelo Branco,CASTELO BRANCO,PPD/PSD,51.8,PS,PCP/PEV,CDS,32.4,4.6,3.9,5.2
1991,Coimbra,COIMBRA,PPD/PSD,49.9,PS,PCP/PEV,CDS,34.4,5,3.5,4.5
1991,Évora,Ã‰VORA,PPD/PSD,35,PCP/PEV,PS,CDS,27.1,25.9,2.8,7.1
1991,Faro,FARO,PPD/PSD,50.8,PS,PCP/PEV,CDS,31.2,7.2,2.8,5.8
1991,Guarda,GUARDA,PPD/PSD,58.6,PS,CDS,PCP/PEV,26.8,5.9,2.3,4.3
1991,Leiria,LEIRIA,PPD/PSD,61.2,PS,CDS,PCP/PEV,23,4.8,4.5,3.9
1991,Lisboa,LISBOA,PPD/PSD,45.3,PS,PCP/PEV,CDS,29.7,12.1,4,6.8
1991,Madeira,MADEIRA,PPD/PSD,62.4,PS,CDS,UDP,20.1,6.1,4.6,4.4
1991,Portalegre,PORTALEGRE,PPD/PSD,38.9,PS,PCP/PEV,CDS,33.5,15.2,3.3,6.8
1991,Porto,PORTO,PPD/PSD,51.3,PS,PCP/PEV,CDS,32.9,6.4,4.1,3.6
1991,Santarém,SANTARÃ‰M,PPD/PSD,49.1,PS,PCP/PEV,CDS,29.4,9.8,3.3,6.2
1991,Setúbal,SETÃšBAL,PPD/PSD,34.7,PS,PCP/PEV,CDS,28.4,24.9,2.7,7.3
1991,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD,56.8,PS,CDS,PCP/PEV,25.2,7.2,5,4
1991,Vila Real,VILA REAL,PPD/PSD,60.6,PS,CDS,PCP/PEV,26,5.1,2.6,3.5
1991,Viseu,VISEU,PPD/PSD,64.3,PS,CDS,PCP/PEV,19.4,6.3,2.1,3.2
1995,Aveiro,AVEIRO,PPD/PSD,41.2,PS,CDS/PP,PCP/PEV,40.2,12.6,2.7,1.6
1995,Beja,BEJA,PS,45.8,PCP/PEV,PPD/PSD,CDS/PP,29.2,15.7,3.6,3.9
1995,Braga,BRAGA,PS,42.9,PPD/PSD,CDS/PP,PCP/PEV,38.2,10.7,4.5,2
1995,Bragança,BRAGANÃ‡A,PPD/PSD,44.8,PS,CDS/PP,PCP/PEV,40.3,9.4,1.9,1.3
1995,Castelo Branco,CASTELO BRANCO,PS,53.2,PPD/PSD,CDS/PP,PCP/PEV,32.1,7.2,3.5,1.9
1995,Coimbra,COIMBRA,PS,49.1,PPD/PSD,CDS/PP,PCP/PEV,34.5,7.1,5.1,1.9
1995,Évora,Ã‰VORA,PS,42.6,PCP/PEV,PPD/PSD,CDS/PP,26.9,20.2,5.2,3.4
1995,Faro,FARO,PS,49.6,PPD/PSD,CDS/PP,PCP/PEV,29.2,8.3,7.8,2.9
1995,Guarda,GUARDA,PS,43.7,PPD/PSD,CDS/PP,PCP/PEV,39.9,9.9,2.3,1.8
1995,Leiria,LEIRIA,PPD/PSD,43.3,PS,CDS/PP,PCP/PEV,36.7,11.4,4.5,1.9
1995,Lisboa,LISBOA,PS,44.3,PPD/PSD,PCP/PEV,CDS/PP,29,12,9.4,3.4
1995,Madeira,MADEIRA,PPD/PSD,46.1,PS,CDS/PP,UDP,32.9,12.9,2.8,3.2
1995,Portalegre,PORTALEGRE,PS,50.5,PPD/PSD,PCP/PEV,CDS/PP,23.4,14,6.3,3.8
1995,Porto,PORTO,PS,46.7,PPD/PSD,CDS/PP,PCP/PEV,36.4,7.8,6,1.5
1995,Santarém,SANTARÃ‰M,PS,45.8,PPD/PSD,PCP/PEV,CDS/PP,31,9.5,8.7,2.8
1995,Setúbal,SETÃšBAL,PS,44.9,PCP/PEV,PPD/PSD,CDS/PP,23.8,18.4,7.2,4
1995,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD,42.1,PS,CDS/PP,PCP/PEV,38.8,11.3,4.6,1.7
1995,Vila Real,VILA REAL,PPD/PSD,46,PS,CDS/PP,PCP/PEV,40,7.8,1.9,2.3
1995,Viseu,VISEU,PPD/PSD,44.3,PS,CDS/PP,PCP/PEV,38.4,11.5,1.8,1.9
1999,Aveiro,AVEIRO,PS,40.2,PPD/PSD,CDS/PP,PCP/PEV,38.3,13.6,3.5,2.7
1999,Beja,BEJA,PS,46.7,PCP/PEV,PPD/PSD,CDS/PP,28.3,14.5,3.9,4.6
1999,Braga,BRAGA,PS,44.3,PPD/PSD,CDS/PP,PCP/PEV,36.7,8.9,5.4,3
1999,Bragança,BRAGANÃ‡A,PPD/PSD,45.1,PS,CDS/PP,PCP/PEV,39.7,8.7,2.6,2.1
1999,Castelo Branco,CASTELO BRANCO,PS,51.6,PPD/PSD,CDS/PP,PCP/PEV,32,6.3,5.3,2.7
1999,Coimbra,COIMBRA,PS,47.2,PPD/PSD,PCP/PEV,CDS/PP,35.2,6.1,6,3.5
1999,Évora,Ã‰VORA,PS,45.7,PCP/PEV,PPD/PSD,CDS/PP,24.6,18.7,5.1,4.2
1999,Faro,FARO,PS,48.4,PPD/PSD,PCP/PEV,CDS/PP,29.5,8.3,7.3,4.1
1999,Guarda,GUARDA,PS,43.4,PPD/PSD,CDS/PP,PCP/PEV,39.2,9.8,3.2,2.1
1999,Leiria,LEIRIA,PPD/PSD,42.6,PS,CDS/PP,PCP/PEV,36.8,9.9,5.3,3.2
1999,Lisboa,LISBOA,PS,42.7,PPD/PSD,PCP/PEV,CDS/PP,27.3,12.3,8.5,7
1999,Madeira,MADEIRA,PPD/PSD,46.2,PS,CDS/PP,PCP/PEV,35,10.9,2.8,2.6
1999,Portalegre,PORTALEGRE,PS,51.2,PPD/PSD,PCP/PEV,CDS/PP,22.5,15,5.9,3.5
1999,Porto,PORTO,PS,48,PPD/PSD,CDS/PP,PCP/PEV,32.7,7.5,6.2,3.7
1999,Santarém,SANTARÃ‰M,PS,45.5,PPD/PSD,PCP/PEV,CDS/PP,30.2,10.1,8.1,3.8
1999,Setúbal,SETÃšBAL,PS,43.7,PCP/PEV,PPD/PSD,CDS/PP,24.8,18,5.6,5.8
1999,Viana Do Castelo,VIANA DO CASTELO,PS,40.2,PPD/PSD,CDS/PP,PCP/PEV,35.8,14,5,3.1
1999,Vila Real,VILA REAL,PPD/PSD,45.5,PS,CDS/PP,PCP/PEV,40.8,6.8,2.4,2.5
1999,Viseu,VISEU,PPD/PSD,44.3,PS,CDS/PP,PCP/PEV,38.1,10.4,2.2,2.8
2002,Aveiro,AVEIRO,PPD/PSD,46.4,PS,CDS-PP,PCP-PEV-CDU,33.5,12.9,2.6,2.9
2002,Beja,BEJA,PS,43.5,PCP-PEV-CDU,PPD/PSD,CDS-PP,24.2,21.2,3.7,5.3
2002,Braga,BRAGA,PPD/PSD,44.4,PS,CDS-PP,PCP-PEV-CDU,37.4,9.3,4.4,3.1
2002,Bragança,BRAGANÃ‡A,PPD/PSD,53.2,PS,CDS-PP,PCP-PEV-CDU,30,10.9,1.9,2.1
2002,Castelo Branco,CASTELO BRANCO,PS,46.1,PPD/PSD,CDS-PP,PCP-PEV-CDU,38.3,7.1,3.3,3.3
2002,Coimbra,COIMBRA,PS,41.3,PPD/PSD,CDS-PP,PCP-PEV-CDU,41,6.7,5.1,3.7
2002,Évora,Ã‰VORA,PS,42.8,PPD/PSD,PCP-PEV-CDU,CDS-PP,25.3,21.8,4.6,3.9
2002,Faro,FARO,PS,40.5,PPD/PSD,CDS-PP,PCP-PEV-CDU,37.7,8.3,6.3,4.8
2002,Guarda,GUARDA,PPD/PSD,48.5,PS,CDS-PP,PCP-PEV-CDU,34.7,9.6,2.2,2.8
2002,Leiria,LEIRIA,PPD/PSD,50.8,PS,CDS-PP,PCP-PEV-CDU,29.5,9.8,4.1,3.6
2002,Lisboa,LISBOA,PS,38.7,PPD/PSD,PCP-PEV-CDU,CDS-PP,35.7,8.8,8.5,6.3
2002,Madeira,MADEIRA,PPD/PSD,53.5,PS,CDS-PP,B.E.-UDP,25.8,12.1,3.1,3.2
2002,Portalegre,PORTALEGRE,PS,45.3,PPD/PSD,PCP-PEV-CDU,CDS-PP,30.6,12.4,6.5,3.4
2002,Porto,PORTO,PS,41.2,PPD/PSD,CDS-PP,PCP-PEV-CDU,40,8.4,4.6,3.9
2002,Santarém,SANTARÃ‰M,PS,38.4,PPD/PSD,PCP-PEV-CDU,CDS-PP,38.1,8.6,8.4,4.5
2002,Setúbal,SETÃšBAL,PS,39.3,PPD/PSD,PCP-PEV-CDU,CDS-PP,24.7,20.5,6.9,6.7
2002,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD,45.5,PS,CDS-PP,PCP-PEV-CDU,35.3,10.3,3.5,3.5
2002,Vila Real,VILA REAL,PPD/PSD,54.1,PS,CDS-PP,PCP-PEV-CDU,31.9,8.1,2,2
2002,Viseu,VISEU,PPD/PSD,52,PS,CDS-PP,PCP-PEV-CDU,31.1,10.6,1.5,2.6
2005,Aveiro,AVEIRO,PS,41,PPD/PSD,CDS-PP,B.E.,35.7,9.8,5.1,5.5
2005,Beja,BEJA,PS,51,PCP-PEV,PPD/PSD,B.E.,24.1,12.3,4.7,5.6
2005,Braga,BRAGA,PS,45.4,PPD/PSD,CDS-PP,PCP-PEV,32.9,7.8,4.8,7
2005,Bragança,BRAGANÃ‡A,PS,42.1,PPD/PSD,CDS-PP,B.E.,39,9.7,2.5,4
2005,Castelo Branco,CASTELO BRANCO,PS,56,PPD/PSD,CDS-PP,PCP-PEV,26.7,5.3,3.8,5.5
2005,Coimbra,COIMBRA,PS,45.4,PPD/PSD,B.E.,PCP-PEV,31.9,6.3,5.5,7.2
2005,Évora,Ã‰VORA,PS,49.7,PCP-PEV,PPD/PSD,B.E.,20.9,16.7,4.6,5.9
2005,Faro,FARO,PS,49.3,PPD/PSD,B.E.,PCP-PEV,24.6,7.7,6.9,8.3
2005,Guarda,GUARDA,PS,46.8,PPD/PSD,CDS-PP,B.E.,34.7,7,3.4,4.9
2005,Leiria,LEIRIA,PPD/PSD,39.8,PS,CDS-PP,B.E.,35.6,8.9,5.5,6.7
2005,Lisboa,LISBOA,PS,44.1,PPD/PSD,PCP-PEV,B.E.,23.6,9.8,8.8,10.3
2005,Madeira,MADEIRA,PPD/PSD,45.2,PS,CDS-PP,B.E.,35,6.6,3.8,6.6
2005,Portalegre,PORTALEGRE,PS,54.9,PPD/PSD,PCP-PEV,B.E.,20.2,12.1,4.6,5.9
2005,Porto,PORTO,PS,48.5,PPD/PSD,CDS-PP,B.E.,27.8,6.9,6.7,7.3
2005,Santarém,SANTARÃ‰M,PS,46.1,PPD/PSD,PCP-PEV,CDS-PP,26.4,8.6,6.9,8.8
2005,Setúbal,SETÃšBAL,PS,43.6,PCP-PEV,PPD/PSD,B.E.,20,16.1,10.3,7.5
2005,Viana Do Castelo,VIANA DO CASTELO,PS,42,PPD/PSD,CDS-PP,B.E.,33.5,11.4,4.5,5.9
2005,Vila Real,VILA REAL,PS,43.8,PPD/PSD,CDS-PP,PCP-PEV,40.2,6.8,2.6,4
2005,Viseu,VISEU,PS,40.4,PPD/PSD,CDS-PP,B.E.,40.2,8.6,3.3,4.1
2009,Aveiro,AVEIRO,PPD/PSD,34.6,PS,CDS-PP,B.E.,33.8,13,9,6.3
2009,Beja,BEJA,PS,34.9,PCP-PEV,PPD/PSD,B.E.,29.1,14.6,10,8.3
2009,Braga,BRAGA,PS,41.7,PPD/PSD,CDS-PP,B.E.,30.8,9.7,7.8,7
2009,Bragança,BRAGANÃ‡A,PPD/PSD,40.6,PS,CDS-PP,B.E.,33,12.6,6.2,4.2
2009,Castelo Branco,CASTELO BRANCO,PS,41,PPD/PSD,B.E.,CDS-PP,29.8,9.1,8.4,7.4
2009,Coimbra,COIMBRA,PS,38,PPD/PSD,B.E.,CDS-PP,30.6,10.8,8.8,8
2009,Évora,Ã‰VORA,PS,35,PCP-PEV,PPD/PSD,B.E.,22.3,19,11.1,9.6
2009,Faro,FARO,PS,31.9,PPD/PSD,B.E.,CDS-PP,26.2,15.3,10.7,11
2009,Guarda,GUARDA,PS,36,PPD/PSD,CDS-PP,B.E.,35.6,11.2,7.6,5.8
2009,Leiria,LEIRIA,PPD/PSD,34.9,PS,CDS-PP,B.E.,30.1,12.6,9.5,7.5
2009,Lisboa,LISBOA,PS,36.4,PPD/PSD,CDS-PP,B.E.,25.1,11,10.8,12.8
2009,Madeira,MADEIRA,PPD/PSD,48.1,PS,CDS-PP,B.E.,19.4,11.1,6.2,11.8
2009,Portalegre,PORTALEGRE,PS,38.3,PPD/PSD,PCP-PEV,B.E.,23.8,12.9,10.8,10.9
2009,Porto,PORTO,PS,41.8,PPD/PSD,CDS-PP,B.E.,29.2,9.3,9.2,7.4
2009,Santarém,SANTARÃ‰M,PS,33.7,PPD/PSD,B.E.,CDS-PP,27,11.8,11.2,11.9
2009,Setúbal,SETÃšBAL,PS,34,PCP-PEV,PPD/PSD,B.E.,20.1,16.4,14,11.7
2009,Viana Do Castelo,VIANA DO CASTELO,PS,36.3,PPD/PSD,CDS-PP,B.E.,31.3,13.6,8.6,7
2009,Vila Real,VILA REAL,PPD/PSD,41.1,PS,CDS-PP,B.E.,36.1,10.1,5.5,4.5
2009,Viseu,VISEU,PPD/PSD,37.5,PS,CDS-PP,B.E.,34.7,13.4,6.5,4.3
2011,Aveiro,AVEIRO,PPD/PSD,44.5,PS,CDS-PP,B.E.,25.9,12.9,5,6.8
2011,Beja,BEJA,PS,29.8,PCP-PEV,PPD/PSD,CDS-PP,25.4,23.7,7.3,9.5
2011,Braga,BRAGA,PPD/PSD,40.1,PS,CDS-PP,PCP-PEV,32.9,10.4,4.9,6.9
2011,Bragança,BRAGANÃ‡A,PPD/PSD,52.1,PS,CDS-PP,PCP-PEV,26.1,11.1,2.6,4.3
2011,Castelo Branco,CASTELO BRANCO,PPD/PSD,37.9,PS,CDS-PP,PCP-PEV,34.8,9.6,4.9,7.5
2011,Coimbra,COIMBRA,PPD/PSD,40.1,PS,CDS-PP,PCP-PEV,29.2,9.9,6.2,8.8
2011,Évora,Ã‰VORA,PS,29,PPD/PSD,PCP-PEV,CDS-PP,27.6,22,8.7,8.7
2011,Faro,FARO,PPD/PSD,37,PS,CDS-PP,PCP-PEV,23,12.7,8.6,13.4
2011,Guarda,GUARDA,PPD/PSD,46.3,PS,CDS-PP,PCP-PEV,28.3,11.2,3.6,5.6
2011,Leiria,LEIRIA,PPD/PSD,47,PS,CDS-PP,B.E,20.7,12.8,5.4,8.3
2011,Lisboa,LISBOA,PPD/PSD,34.1,PS,CDS-PP,PCP-PEV,27.5,13.8,9.6,9.8
2011,Madeira,MADEIRA,PPD/PSD,49.4,PS,CDS-PP,B.E.,14.7,13.7,4,13.7
2011,Portalegre,PORTALEGRE,PPD/PSD,32.5,PS,PCP-PEV,CDS-PP,32.4,12.8,10.2,7.7
2011,Porto,PORTO,PPD/PSD,39.2,PS,CDS-PP,PCP-PEV,32,10,6.2,7.8
2011,Santarém,SANTARÃ‰M,PPD/PSD,37.6,PS,CDS-PP,PCP-PEV,25.9,12.3,9,9.6
2011,Setúbal,SETÃšBAL,PS,26.9,PPD/PSD,PCP-PEV,CDS-PP,25.2,19.6,12.1,11.2
2011,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD,43.6,PS,CDS-PP,PCP-PEV,26.2,13.4,4.9,7.2
2011,Vila Real,VILA REAL,PPD/PSD,51.4,PS,CDS-PP,PCP-PEV,29.1,8.7,3.1,4.4
2011,Viseu,VISEU,PPD/PSD,48.4,PS,CDS-PP,PCP-PEV,26.7,12.4,2.9,5.1
2015,Aveiro,AVEIRO,PPD/PSD.CDS-PP,48.1,PS,B.E.,PCP-PEV,27.9,9.6,4.4,4.6
2015,Beja,BEJA,PS,37.3,PCP-PEV,PPD/PSD.CDS-PP,B.E.,25,20.1,8.2,5.2
2015,Braga,BRAGA,PPD/PSD.CDS-PP,45.6,PS,B.E.,PCP-PEV,30.9,8.8,5.2,4.8
2015,Bragança,BRAGANÃ‡A,PPD/PSD.CDS-PP,49.5,PS,B.E.,PCP-PEV,33.9,5.6,3.1,3.3
2015,Castelo Branco,CASTELO BRANCO,PS,38.9,PPD/PSD.CDS-PP,B.E.,PCP-PEV,35.3,10,6,4.3
2015,Coimbra,COIMBRA,PPD/PSD.CDS-PP,37.2,PS,B.E.,PCP-PEV,35.3,9.9,7,5.2
2015,Évora,Ã‰VORA,PS,37.6,PPD/PSD.CDS-PP,PCP-PEV,B.E.,23.8,21.9,8.6,4
2015,Faro,FARO,PS,32.8,PPD/PSD.CDS-PP,B.E.,PCP-PEV,31.5,14.1,8.7,7
2015,Guarda,GUARDA,PPD/PSD.CDS-PP,45.6,PS,B.E.,PCP-PEV,33.7,7.4,4,4
2015,Leiria,LEIRIA,PPD/PSD.CDS-PP,48.4,PS,B.E.,PCP-PEV,24.8,9.7,5.1,5.8
2015,Lisboa,LISBOA,PPD/PSD.CDS-PP,34.7,PS,B.E.,PCP-PEV,33.5,10.9,9.9,6.2
2015,Portalegre,PORTALEGRE,PS,42.4,PPD/PSD.CDS-PP,PCP-PEV,B.E.,27.6,12.2,9.2,4.2
2015,Porto,PORTO,PPD/PSD.CDS-PP,39.6,PS,B.E.,PCP-PEV,32.7,11.1,6.8,5.2
2015,Santarém,SANTARÃ‰M,PPD/PSD.CDS-PP,35.8,PS,B.E.,PCP-PEV,32.9,10.8,9.7,5
2015,Setúbal,SETÃšBAL,PS,34.4,PPD/PSD.CDS-PP,PCP-PEV,B.E.,22.6,18.8,13.1,6.5
2015,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD.CDS-PP,45.5,PS,B.E.,PCP-PEV,29.8,8,5.2,5.7
2015,Vila Real,VILA REAL,PPD/PSD.CDS-PP,51,PS,B.E.,PCP-PEV,33.1,5.2,3,3.4
2015,Viseu,VISEU,PPD/PSD.CDS-PP,51.1,PS,B.E.,PCP-PEV,29.7,6.7,3.5,3.9
